Iteration,Runtime(ns)
893,17114600
894,15994700
895,16988400
896,15995300
897,17021300
898,15964100
899,17052900
900,17015800
901,15992900
902,17077400
903,16120800
904,17069400
905,16018100
906,17036100
907,16031000
908,17017500
909,17030800
910,15993300
911,16023900
912,17053000
913,16932800
914,16065300
915,16992700
916,15993200
917,16991900
918,16992400
919,16026300
920,16992500
921,15992000
922,17020200
923,15993000
924,15990300
925,17019900
926,15996200
927,16989800
928,17146400
929,16015100
930,16991300
931,16146100
932,16992400
933,15994800
934,16990600
935,17028800
936,15999700
937,16983900
938,17126100
939,14997900
940,16993600
941,17091300
942,15892400
943,17020400
944,17017600
945,16994200
946,16026600
947,16131600
948,16990700
949,15992700
950,16992700
951,16994500
952,15990900
953,15992900
954,16989800
955,16995100
956,15993000
957,16992700
958,16992500
959,15992900
960,16992500
961,15992900
962,16992400
963,15993300
964,17015200
965,16163200
966,16993000
967,15994700
968,16991600
969,15991500
970,16994500
971,15992700
972,16993300
973,16990400
974,15992600
975,16993000
976,15993000
977,16992100
978,16992800
979,16018600
980,16993000
981,16995100
982,16025800
983,17135500
984,15994700
985,16993100
986,16036900
987,16944600
988,16994000
989,16049000
990,15943400
991,16986200
992,15993500
993,16989200
994,17048300
995,16077000
996,15994700
997,17031100
998,16989200
999,15993000
1000,17063800
1001,17018500
1002,15991400
1003,17063600
1004,15991200
1005,16093300
1006,17085700
1007,17039900
1008,15994700
1009,17234700
1010,16052900
1011,16745500
1012,17052300
1013,16011500
1014,16992500
1015,15992900
1016,17014600
1017,16016000
1018,17118700
1019,16011600
1020,16992700
1021,17053200
1022,16015400
1023,16241500
1024,17019500
1025,15993300
1026,16990700
1027,16993900
1028,15992900
1029,16369500
1030,16992500
1031,15991700
1032,16993700
1033,17056200
1034,15994100
1035,16994200
1036,16047500
1037,16991900
1038,15994700
1039,17027300
1040,16045500
1041,17008900
1042,17047400
1043,16062000
1044,17011000
1045,15993300
1046,16989700
1047,15995700
1048,17013100
1049,15992900
1050,17014600
1051,16150200
1052,17181000
1053,15993000
1054,16992700
1055,15992700
1056,16998600
1057,16986300
1058,15992900
1059,15993000
1060,16992700
1061,16990400
1062,17027300
1063,15960400
1064,17017600
1065,15992900
1066,16992500
1067,15992600
1068,16994500
1069,15991200
1070,16992800
1071,16994200
1072,15991200
1073,17021000
1074,15991800
1075,16991300
1076,15992900
1077,16992700
1078,16994800
1079,15993000
1080,15995000
1081,16990400
1082,17034100
1083,15995300
1084,16991800
1085,16013600
1086,16993900
1087,16991000
1088,15992700
1089,16996800
1090,16988100
1091,16126000
1092,16995100
1093,15993200
1094,16992500
1095,15992900
1096,17144200
1097,16013600
1098,15990600
1099,17057900
1100,17038800
1101,15992100
1102,17019600
1103,15993200
1104,16994800
1105,16177400
1106,17101300
1107,15991200
1108,17094600
1109,15994700
1110,17057600
1111,17089600
1112,15998500
1113,16992500
1114,15991500
1115,16993900
1116,15992900
1117,17110200
1118,16193300
1119,15993000
1120,17041700
1121,16992500
1122,16018300
1123,17109000
1124,16169700
1125,17015500
1126,17034600
1127,16112800
1128,15994700
1129,16990700
1130,16144900
1131,15991800
1132,17139400
1133,16992400
1134,15992400
1135,17117200
1136,16072400
1137,16991200
1138,16994000
1139,15992900
1140,16991300
1141,16007100
1142,17155900
1143,16043100
1144,16960900
1145,16034300
1146,17059400
1147,16942300
1148,15990900
1149,16057800
1150,17022600
1151,16992400
1152,15994800
1153,16990000
1154,15994800
1155,15992900
1156,16992500
1157,16992700
1158,15993000
1159,16990300
1160,15995000
1161,16992500
1162,16992700
1163,16989800
1164,15995600
1165,17026700
1166,16096800
1167,15995000
1168,16990400
1169,15993300
1170,16990100
1171,17015700
1172,16991600
1173,15992600
1174,17021100
1175,15995300
1176,16008900
1177,16976500
1178,16992400
1179,16040800
1180,17130300
1181,16049300
1182,16991800
1183,17016400
1184,16039000
1185,15992900
1186,17047000
1187,17019000
1188,15994800
1189,16988600
1190,15995000
1191,17017800
1192,16255600
1193,17022300
1194,15993200
1195,16992200
1196,17016600
1197,15994700
1198,17042600
