Iteration,Runtime(ns)
722,56015400
723,72941200
724,39946700
725,52970400
726,77246400
727,40205100
728,53091300
729,76948700
730,40138000
731,54314000
732,75216500
733,40978700
734,53967300
735,76955700
736,43468600
737,52309800
738,78482200
739,40981900
740,53393600
741,77068100
742,40208500
743,53560100
744,77157200
745,40142200
746,53111300
747,78236800
748,40058200
749,52978800
750,76977200
751,40956300
752,53065100
753,76048700
754,39967700
755,54090100
756,76180800
757,38984700
758,54305600
759,77043000
760,39093900
761,54087700
762,75321000
763,42006000
764,53345000
765,75961000
766,43108000
767,52529500
768,76377700
769,40098300
770,53395400
771,75403100
772,41086000
773,52548200
774,79190400
775,37093400
776,54040200
777,76305800
778,40495300
779,55190700
780,75184300
781,41146100
782,54286000
783,77307500
784,40978700
785,54960600
786,76101500
787,42018100
788,53193900
789,76379100
790,43218500
791,53367400
792,77217400
793,42048000
794,54208600
795,76178900
796,42174900
797,53077200
798,77955000
799,43094900
800,52403600
801,77068500
802,41950100
803,55066500
804,75155300
805,42274300
806,53332900
807,77586900
808,41170400
809,53997700
810,76650600
811,40983400
812,53992100
813,76955200
814,41451800
815,53506400
816,77072800
817,42203300
818,53117400
819,76200400
820,42202400
821,54123700
822,77186100
823,39302000
824,54202500
825,76794800
826,40340400
827,52937800
828,75984800
829,41175100
830,53205100
831,77947100
832,41122800
833,53142600
834,76985500
835,41298800
836,52380700
837,75954500
838,41198900
839,54707300
840,75961100
841,40204200
842,52155400
843,78985600
844,39954600
845,53512100
846,77734300
847,40063800
848,54096600
849,76404800
850,39165700
851,53060000
852,77586900
853,41075300
854,51073500
855,77203800
856,38003100
857,54029500
858,77067600
859,35982600
860,55173900
861,77954100
862,33983900
863,52536600
864,77782400
865,34089900
866,53940300
867,76985100
868,33390600
869,53310500
870,76094500
871,35979300
872,52539800
873,78095000
874,34067000
875,53499400
876,76219600
877,35957800
878,52178700
879,76183200
880,36985600
881,53124800
882,74965000
883,35972900
884,52117100
885,78527500
886,35095200
887,53084700
888,76098700
889,36255500
890,53194800
891,75308400
892,37195600
893,52353200
894,75787000
895,36027800
896,52416700
897,77070000
898,34114100
899,53087500
900,75956400
901,35984500
902,53092100
903,76032500
904,34988900
905,53076300
906,76413100
907,36193000
908,52937800
909,77254200
910,34979100
911,52144200
912,76089800
913,35957500
914,53157000
915,76231600
916,34979600
917,52160900
918,74446700
919,35989200
920,51178400
921,76386100
922,36094100
923,52193600
924,76139300
925,34956700
926,52466100
927,76948200
928,34101100
929,52084500
930,76206000
931,34980500
932,73043800
933,55997300
934,34979600
935,51972000
936,77000900
937,34978700
938,52970400
939,76418200
940,35105100
941,53264300
942,75985800
943,34191600
944,53266200
945,75058700
946,35971900
947,53111800
948,75503400
949,36984700
950,52319600
951,75300400
952,36981900
953,52189500
954,76031000
955,35993800
956,52654600
957,77361500
958,35095300
959,52019200
960,77067200
961,34963200
962,52614000
963,77550000
964,34950700
965,53097700
966,76179900
967,35950900
968,52500600
969,76098700
970,36039100
971,54317700
972,75406800
973,36005000
974,52181100
975,76963200
976,36001700
977,54053700
978,77668100
979,36172000
980,52964400
981,78153700
982,35958800
983,54042500
984,78136100
985,35971800
986,54438600
987,76308600
988,37017400
989,53309100
990,77275300
991,38118400
992,54063000
993,77985800
994,40061500
995,53044100
996,76955700
997,38008700
998,53622600
999,76986100
1000,36956200
1001,53190200
1002,76070700
1003,39203500
1004,53275000
1005,76186000
1006,37976500
1007,52379700
1008,77465200
1009,36947800
1010,52117600
1011,76630600
1012,37947100
1013,55095500
1014,74526000
1015,38056800
1016,53093600
1017,77206200
1018,37278100
1019,52863200
1020,77342900
1021,37033200
1022,53347400
1023,76158400
1024,36186900
1025,53116400
1026,77413800
1027,36957200
1028,52192200
1029,76442500
1030,37056100
1031,52991000
1032,76926300
1033,38984200
1034,53086200
1035,77200100
1036,36953000
1037,53187300
1038,77299600
1039,37218900
1040,54272900
1041,78186900
1042,36093700
1043,52976900
1044,78281600
1045,36308700
1046,53311400
1047,77070500
1048,37955600
1049,52086300
1050,78325000
1051,37155900
1052,53119200
1053,75945700
1054,40169200
1055,52998900
1056,76454600
1057,40098400
1058,53965500
1059,76241900
1060,40091800
1061,52941500
1062,76169100
1063,40089000
1064,53250400
1065,77152500
1066,40231800
1067,54090500
1068,77209100
1069,41233900
1070,54130200
1071,76057600
1072,43975200
1073,53070200
1074,77072400
1075,43062700
1076,53517600
1077,77043400
1078,42954000
1079,53042700
1080,78187300
1081,43326300
1082,53407600
1083,77288300
1084,43142500
1085,53089800
1086,78102000
1087,44294300
1088,52081600
1089,76081000
1090,45158300
1091,54416200
1092,77190400
1093,43086000
1094,53305400
1095,78929600
1096,39257100
1097,53199000
1098,77215100
1099,42058300
1100,54309800
1101,76576400
1102,41913100
1103,53977700
1104,77559400
1105,41174100
1106,53994000
1107,76926700
1108,41105200
1109,53540500
1110,77302800
1111,41454000
1112,53174800
1113,77984400
1114,41978400
1115,53052100
1116,80254500
1117,41950500
1118,54151700
1119,77095600
1120,41976600
1121,55118300
1122,78431800
1123,41164400
1124,54182900
1125,77300500
1126,41976100
1127,54454000
1128,77325600
1129,41184000
1130,55198600
1131,77405400
1132,41092100
1133,53491900
1134,77289300
1135,41097700
1136,52307900
1137,77711900
